district,lat,lon
Ahmednagar,19.101053,74.740677
Akola,20.70957,76.9981
Amravati,20.93333,77.75
Aurangabad,19.87757,75.34226
Beed,18.992012,75.776138
Buldhana,20.53208,76.179911
Chandrapur,19.970324,79.30336
Dhule,20.903118,74.774986
Gondia,21.459801,80.195
Hingoli,19.536427,77.21804148
Jalgaon,21.004194,75.563942
Jalna,19.846811,75.890633
Kolhapur,16.691307,74.244865
Latur,18.407957,76.576767
Mumbai,19.07283,72.88261
Nagpur,21.14631,79.08491
Nanded,19.169815,77.319717
Nandurbar,21.3755507,74.2427644
Nashik,19.99727,73.79096
Osmanabad,18.186066,76.041939
Palghar,19.697107,72.763725
Parbhani,19.25779,76.773743
Pune,18.51957,73.85535
Raigad,18.830552,73.284645
Ratnagiri,16.994444,73.300003
Sangli,16.85438,74.56417
Satara,17.691401,74.000938
Sindhudurg,16.13135275,73.50216995
Solapur,17.67152,75.91044
Thane,19.21833,72.978088
Washim,20.1,77.150002
Yavatmal,20.388794,78.120407
Bhandara,21.17,79.650002
Wardha,20.745319,78.6021946
Gadchiroli,20.184872,79.994797
